AppID,UPC,Title,Description,SMART SCALE Round,Area Type,Principal Improvement Type,FacilityType,Total Expenditures as of July 2025,Construction District,Construction Begin,Construction End,Jurisdiction,Road System,Project Category,Innovative Intersection/Interchange Configuration,No Data Flag Congestion,No Method Flag Congestion,Peak Period for Congestion and Reliability Analysis,Before Year for Congestion and Reliability Measures,After Year for Congestion and Reliability Measures,Average Delay % Change,Average Delay Before (hours per 1000 veh),Average Delay After (hours per 1000 veh),Average Delay Change (hours per 1000 veh),Average Speed % Change,Average Speed Before (mph),Average Speed After (mph),Average Speed Change (mph),PTI % Change,PTI Before,PTI After,PTI Change,BTI % Change,BTI Before,BTI After,BTI Change,TTI % Change,TTI Before,TTI After,TTI Change,LOTTR % Change,LOTTR Before,LOTTR After,LOTTR Change,Average VMT % Change,Average VMT Before,Average VMT After,Average VMT Change,Average VHT % Change,Average VHT Before,Average VHT After,Average VHT Change,AADT,PeakHourVolume,DirectionalVolume,DataQualityFlag,ConfounderFlag,Notes
630,109528,Route 151 (Rockfish Valley Highway) and Route 664 Right-Turn Lane,Construct an off-set right-turn lane on southbound Route 151 (Rockfish Valley Highway) at Route 664 (Beech Grove Road/Glenthorne Loop).,1,C,Highway,Arterial,"$655,059 ",Lynchburg,3/12/2019,8/29/2019,Nelson County,Primary,Intersection - New Turn Lane(s),,,,PM (4:00-7:00 PM),2017,2022,141%,-0.16789613,0.068100011,0.235996141,-0.020695548,46.60676459,45.64221207,-0.964552513,0.06107019,1.075644921,1.141334761,0.06568984,0.474948981,0.098736701,0.145631596,0.046894895,0.017367692,0.979068597,0.99607276,0.017004162,0.022412663,1.044444444,1.067853225,0.023408781,63.00%,61.7,100.5,38.83920877,0.621680991,1.323707373,2.146631084,0.822923712,,,,,,
1645,110797,US 11 (Lee Highway) and Railroad Drive Intersection Improvements,Construct a northbound left-turn lane and a southbound right-turn lane at US 11 (Lee Highway) and Railroad Drive.,2,D,Highway,Arterial,"$2,024,284 ",Bristol,6/8/2021,5/20/2022,Smyth County,Primary,Intersection - New Turn Lane(s),,,,PM (4:00-7:00 PM),2019,2023,396%,0.016799956,0.083317411,0.066517456,0.014942898,45.800862,46.48525959,0.684397588,0.006455321,1.101861057,1.108973924,0.007112867,0.058681342,0.105625259,0.11182349,0.006198232,0.000928563,0.996718656,0.997644172,0.000925516,0.007066821,1.045454545,1.052842585,0.00738804,35.80%,305.9,415.4,109.4850403,0.34198,6.678620708,8.962575416,2.283954708,,,,,,
576,111753,US 1 (Richmond Highway) at Potomac Creek Drive Turn Lane,Construct a southbound left-turn lane at the intersection of US 1 (Richmond Highway) and Potomac Creek Drive.,1,A,Highway,Arterial,"$1,950,695 ",Fredericksburg,6/11/2019,12/11/2019,Stafford County,Primary,Intersection - New Turn Lane(s),,,,PM (4:00-7:00 PM),2018,2022,193%,-0.119501791,0.110676834,0.230178625,0.015267313,51.151609,51.93255665,0.78094765,0.018309968,1.055391686,1.074715874,0.019324188,0.225588418,0.082500816,0.101112044,0.018611229,0.001093975,0.974934166,0.97600072,0.001066553,-0.001428334,1.039615722,1.038130804,-0.001484918,-19.40%,1029.4,829.5,-199.8787276,-0.205142333,19.86948881,15.79341553,-4.07607328,,,,,,
747,109520,School Bus Road Realignment,"Realign School Bus Road to intersect with Route 208 at Chalklevel Road, with a shared left/through lane and a dedicated right-turn lane on the new School Bus Road northbound approach. Construct dedicated eastbound and westbound left- and right-turn lanes on Route 208. Construct bike lanes on the east, west, and south legs.",1,C,Highway,Arterial,"$5,414,857 ",Culpeper,8/11/2020,12/14/2021,Louisa County,Primary,Intersection Reconfiguration,,,,PM (4:00-7:00 PM),2019,2023,1142%,-0.014640659,0.152527414,0.167168073,-0.003499188,45.08077972,44.92303362,-0.157746107,0.031973262,1.078026527,1.112494551,0.034468024,0.280649968,0.096033195,0.122984909,0.026951713,0.007231229,0.983571208,0.990683637,0.007112429,0.023235457,1.038171111,1.062293491,0.02412238,-2.60%,586.6,571.1,-15.50075122,-0.023435081,13.05202706,12.74615174,-0.305875313,,,,,,
504,109368,I-81 Exit 222 Deceleration and Acceleration Lane Extensions,Extend the northbound acceleration and southbound deceleration lane on I-81 at Exit 222 interchange.,1,C,Highway,Freeway,"$1,039,516 ",Staunton,1/9/2018,4/12/2019,Augusta County,Interstate,Freeway Acceleration/Deceleration/Auxiliary Lane Improvement,,,,PM (4:00-7:00 PM),2016,2022,4%,0.159297873,0.165819021,0.006521148,0.014686047,64.55858789,65.50669833,0.948110434,0.038502059,1.034518786,1.074349889,0.039831103,1.133404002,0.04098096,0.087428945,0.046447984,-0.006275034,0.99372891,0.987493228,-0.006235682,0.00588349,1.015338475,1.021312209,0.005973734,-16.50%,2349.3,1960.6,-388.6595697,-0.177135759,36.42045967,29.96909389,-6.45136578,,,,,,
1068,111359,I-81 Southbound Safety Improvements from MM 167.4 to MM 169.5,Apply high-friction surface treatment on southbound I-81 between MM 167.4 and MM 169.5. Close the southbound I-81 off-ramp at Exit 167. Widen the inside shoulders and improve superelevation within two curves on I-81 southbound.,2,D,Highway,Freeway,"$4,405,405 ",Salem,5/19/2020,7/2/2021,Botetourt County,Interstate,Freeway Acceleration/Deceleration/Auxiliary Lane Improvement,,,,PM (4:00-7:00 PM),2019,2022,252%,-0.11343337,0.172293394,0.285726764,-0.011801275,44.59064221,44.0644158,-0.526226412,0.003742866,1.057430095,1.061387913,0.003957819,0.066600615,0.073633712,0.078537763,0.004904051,-0.001893522,0.984827133,0.982962341,-0.001864792,-0.013731254,1.040621999,1.026332954,-0.014289045,-7.20%,1576.5,1463.1,-113.3675833,-0.036778506,24.31733879,23.42298339,-0.894355399,,,,,,
683,109529,US 15 (James Madison Highway) and Route 636 Turn Lanes,Construct northbound and southbound left-turn and right-turn lanes at US 15 (James Madison Highway) and Route 636 (Fransico Road/Stage Coach Road). Close one entrance to the gas station in the southwest corner of the intersection.,1,D,Highway,Arterial,"$2,259,793 ",Lynchburg,10/6/2020,10/1/2021,Buckingham County,Primary,Intersection - New Turn Lane(s),,,,PM (4:00-7:00 PM),2019,2022,-20%,0.217205392,0.172873158,-0.044332233,0.009912032,43.61115465,44.04342983,0.432275177,0.000791302,1.143766953,1.144672018,0.000905065,-0.056486292,0.149480344,0.141036754,-0.00844359,0.010568092,0.992615492,1.003105544,0.010490052,0.009742231,1.045369757,1.055553991,0.010184234,-2.70%,216.7,210.8,-5.860944889,-0.016031128,4.187456415,4.120326767,-0.067129648,,,,,,
3997,115483,US 58 ALT (Norton-Coeburn Road) and US 23 (Orby Cantrell Highway) Northbound Off-Ramp Improvements,Eliminate the channelized right-turn lane on the northbound off-ramp at US 58 ALT (Norton-Coeburn Road) and US 23 (Orby Cantrell Highway) and replace with a stop-controlled right-turn lane.,3,D,Highway,Hybrid,"$896,957 ",Bristol,3/8/2022,9/14/2022,Norton,Urban,Interchange Improvement,,,,PM (4:00-7:00 PM),2019,2023,-43%,0.317817437,0.181712649,-0.136104788,0.331745478,31.82425773,42.38181132,10.55755359,-0.1146021,1.560938137,1.382051349,-0.178886788,-0.322575099,0.461480199,0.312618178,-0.148862021,-0.014394433,1.067645988,1.052277829,-0.015368158,-0.016643061,1.133559942,1.114694035,-0.018865907,11.40%,75.5,84.1,8.580241735,0.102276244,2.195318368,2.419847284,0.224528917,,,,,,
524,104950,Construct Left- and Right-Turn Lanes at US 501 (Brookneal Highway) and Route 633,Construct left- and right-turn lanes from US 501 (Brookneal Highway) to Route 633 (Epsons Road) and left- and right-turn lanes from US 501 to Route 633 (Phelps Creek Road).,1,D,Highway,Arterial,"$2,551,026 ",Lynchburg,7/10/2018,9/12/2019,Campbell County,Primary,Intersection - New Turn Lane(s),,,,PM (4:00-7:00 PM),2017,2022,260%,0.052305873,0.188175641,0.135869768,-0.010763449,54.25969394,53.67567252,-0.584021423,0.059565557,1.060499075,1.123668292,0.063169218,0.588034637,0.070479075,0.111923212,0.041444137,0.019882249,0.990747506,1.010445795,0.019698288,0.028384153,1.018426093,1.047333256,0.028907162,-5.40%,222.2,210.1,-12.10243847,-0.042390889,4.074719659,3.901988672,-0.172730987,,,,,,
559,108897,US 58  Eastbound Turn Lane at US 58 Bypass/US 220,Construct an eastbound right-turn lane on US 58 (A. L. Philpott Highway) at the US 58 Bypass/US 220 (William F. Stone Highway) interchange.,1,D,Highway,Freeway,"$1,040,590 ",Salem,4/23/2019,11/11/2019,Henry County,Primary,Interchange Improvement,,,,PM (4:00-7:00 PM),2018,2022,-60%,0.481236155,0.192090294,-0.289145861,0.044309845,35.16029934,36.71824675,1.557947407,0.003710512,1.15608687,1.160376545,0.004289674,0.215471416,0.1273117,0.154743733,0.027432032,-0.015512463,1.015391984,0.999640753,-0.015751231,0.002199895,1.062935955,1.065274303,0.002338348,10.50%,215.2,237.8,22.55422543,-0.007109222,5.150686557,5.114069181,-0.036617376,,,,,,
553,109376,I-81 Exit 323 Deceleration and Acceleration Lane Extensions,Extend the northbound deceleration lane and southbound acceleration lane on I-81 at the Exit 323 interchange.,1,C,Highway,Freeway,"$1,743,534 ",Staunton,1/8/2019,10/9/2019,Frederick County,Interstate,Freeway Acceleration/Deceleration/Auxiliary Lane Improvement,,,,PM (4:00-7:00 PM),2017,2022,-77%,0.946101038,0.213216476,-0.732884562,1.049880906,22.73440994,46.60283283,23.86842289,-0.386267207,1.791401423,1.099441799,-0.691959625,-0.85251266,0.726137631,0.107096107,-0.619041524,-0.000746013,0.991770885,0.991031011,-0.000739874,-0.051700469,1.087896983,1.031652198,-0.056244784,15.00%,719.6,827.5,107.8816557,-0.083490637,15.12412839,13.86140527,-1.262723118,,,,,,
